"Артикул","Название","закуп цена","Цена","Описание","Цвет","Размер","Покриття","Покриття","Подразделение","название изображения (door1.jpg)"
"MDF-TST-001","СТІНОВА МДФ ПАНЕЛЬ" - комплект,"","1111","Готове рішення для стильних стін (старт + панель + фініш)
Комплект:
Панель — 555 грн
Старт — 278 грн
Фініш — 278 грн
Конструктив - МДФ, вкритий плівкою ПВХ або ППЛ.
Упаковка - Стандартна упаковка:- стінова панель 5 шт. по 2780 мм довжиною,- стартова планка 10 шт. по 2780 мм довжиною,- фінішна планка 10 шт. по 27800 мм довжиною. 
Окутані в стрейч-плівку, торці захищені картоном, зафіксовані скотчем. Мінімальний комплект 1 шт.
Колір плівки - вказаний в прайсі. ","Дуб Болтон, Сканді, Елегансія Меджик, дуб Вотан, дуб Антік, Білий Ультрамат (УМ), Сірий УМ, Чорний УМ","117 х 2780 х 12 мм","ПВХ","ППЛ","Стінові панелі",""

"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"HEX-TST-001","СТІНОВА АКУСТИЧНА ПАНЕЛЬ СОТИ","520","728","ПАНЕЛЬ","ДУБ СОНОМА","537 х 620 х 18 мм","ПВХ","ППЛ","",""
"HEX-SRU-002","СТІНОВА АКУСТИЧНА ПАНЕЛЬ СОТИ","520","728","ПАНЕЛЬ","КЛЕН","537 х 620 х 18 мм","ПВХ","ППЛ","",""
"HEX-DAN-003","СТІНОВА АКУСТИЧНА ПАНЕЛЬ СОТИ","520","728","ПАНЕЛЬ","ДУБ КРАФТ ЗОЛОТИЙ","537 х 620 х 18 мм","ПВХ","ППЛ","",""
"HEX-DVT-004","СТІНОВА АКУСТИЧНА ПАНЕЛЬ СОТИ","520","728","ПАНЕЛЬ","БЕЖ","537 х 620 х 18 мм","ПВХ","ППЛ","",""
"HEX-KSH-005","КОМПЛЕКТ СТАРТ-ФІНІШ","111","155","КОМПЛЕКТ СТАРТ-ФІНІШ","ВСІ КОЛЬОРИ З АСОРТИМЕНТУ","","ПВХ","ППЛ","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
